,latitude,longitude,count_sum,count_min,count_max
0,31.0,65.75,2942,2,2
1,32.085373,63.688011,2942,2,2
2,32.489324,62.065236,1471,1,1
3,32.62675,65.873313,23536,4,12
4,32.6371,65.9044,4413,3,3
5,32.83333,66.0,2942,2,2
6,33.0,65.0,8826,6,6
7,33.305843,68.446963,26478,6,12
8,33.33333,67.75,2942,2,2
9,33.472932,68.657758,17652,12,12
10,34.0,69.25,2942,2,2
11,34.151794,69.070099,5884,4,4
12,34.2158,70.8323,1471,1,1
13,34.25,68.0,2942,2,2
14,34.33333,70.41667,2942,2,2
15,34.718494,70.256599,5884,4,4
16,34.750462,71.118319,4413,3,3
17,34.825481,70.084213,13239,9,9
18,36.112492,66.055374,1471,1,1
